boat,phrf,loa,displacement
Beneteau 435 SD,87,43.50,24000
Beneteau 44.7,30,44.90,20250
Beneteau 44.7 SD,36,43.80,20126
Beneteau 45 F5 WK,51,44.90,20570
Beneteau 456,66,45.60,22000
Beneteau 456 Very Tall Mast,48,45.00,20311
Beneteau 46,81,46.20,22000
Beneteau 47.7,24,48.60,25353
Beneteau 47.7 SD,30,48.60,
Beneteau 49 SD,54,49.50,27915
Beneteau 50 Tall Mast,66,50.75,28660
Beneteau 51 First Wing Keel,54,51.00,30000
Beneteau 523,66,53.31,30864
Beneteau 54,45,54.80,32838
Beneteau F 38 Shoal Draft TM,114,38.60,15655
Beneteau F 38 TM,105,38.60,15250
Beneteau F 38 VTM,102,38.60,15250
Beneteau Figaro,105,30.00,5000
Beneteau First 24,189,24.50,3527
Beneteau First 28.5,186,28.20,6160
Beneteau First 30,114,31.20,8613
Beneteau First 32s5,141,32.50,10000
Beneteau First 32s5 W,153,32.50,9260
Beneteau First 35 Deep Keel,72,35.00,12125
Beneteau First 40,33,40.16,17412
Beneteau First 41s5,96,41.30,19000
Beneteau First 42 SD,78,43.70,18600
Beneteau First 42 Short Rig,81,43.70,32906
Beneteau First Class 10,99,34.20,5500
Beneteau First Class 10 Fractional,102,34.30,6990
"Beneteau Mod 38 ""Nepenthe""",99,40.20,15655
Beneteau Oceanis 281 W,198,28.50,5732
Beneteau Oceanis 311,156,32.30,7716
Beneteau Oceanis 321 SD,165,32.60,9700
Beneteau Oceanis 323,162,32.80,8449
Beneteau Oceanis 331,156,33.90,11172
Beneteau Oceanis 34,150,33.92,12390
Beneteau Oceanis 350 W,138,33.70,10582
Beneteau Oceanis 351,150,35.00,12000
Beneteau Oceanis 361 Wing,144,36.50,12790
Beneteau Oceanis 37,129,37.80,14359
Beneteau Oceanis 370 Wing,123,35.70,11243
Beneteau Oceanis 373,111,37.80,15013
Beneteau Oceanis 381,138,38.50,14991
Beneteau Oceanis 390 Wing,129,38.30,14300
Beneteau Oceanis 400,111,39.80,16000
Beneteau Oceanis 400 SD,120,39.80,16000
Beneteau Oceanis 40CC,111,40.80,18740
Beneteau Oceanis 411,129,41.70,17196
Beneteau Oceanis 423,132,43.20,19797
Beneteau Oceanis 423 Shoal Draft,138,43.20,19797
Beneteau Oceanis 430,105,42.80,19800
Beneteau Oceanis 44 CC,126,44.60,20500
Beneteau Oceanis 440 Wing,120,44.30,20500
Beneteau Oceanis 45 Shoal Draft,114,45.80,15100
Beneteau Oceanis 461,111,46.60,27000
Beneteau Oceanis 473 SD,72,46.90,24227
Beneteau Oceanis 48 Shoal Draft,72,47.90,34269
Beneteau Oceanis 500,75,49.80,28000
Bianca 101,132,33.00,6160
Black Watch 24,231,24.00,
Block Island 40,174,40.70,20000
Blue Jacket 40,66,39.80,16500
Bluenose 24,264,24.00,2000
Blusail 24,123,24.00,2426
Bombay Clipper 31,204,31.00,10000
Boston Whaler Harpoon 6.2,234,20.00,1700
Bounty 41 II,174,41.00,20000
Bowman 44 Corsair,117,44.30,23500
Bowman 57 K,93,57.00,41276
Bravura 29 SD,81,29.90,4000
Brenta 38,42,38.30,9480
Brewer 12.8 Centerboard,147,42.00,23850
Bridges Point 24,243,24.00,3944
Bristol 24 Corsair,231,24.00,5920
Bristol 26,240,26.00,5700
Bristol 27,225,27.00,6600
Bristol 28,225,28.00,8650
Bristol 29,228,29.00,8400
Bristol 29.9,183,29.90,8650
Bristol 29.9 Centerboard,189,29.90,8650
Bristol 30,216,30.00,8650
Bristol 31.1 XL,219,31.00,11200
Bristol 32,222,32.00,11300
Bristol 33,186,33.60,12800
Bristol 34,186,34.00,11500
Bristol 35,192,35.00,12500
Bristol 35 Centerboard,192,35.00,12500
Bristol 35.5 Keel,156,35.50,15000
Bristol 38.8 Centerboard,135,38.40,20000
Bristol 39 TM,162,39.00,17580
Bristol 40,171,40.20,16800
Bristol 40 Y,171,40.00,18000
Bristol 41.1 Keel/Centerboard,126,41.10,26530
Bristol 41.1 Keel/Centerboard Tall Mast,123,41.10,26530
Bristol 43.3,117,43.30,26530
Bristol 45.5,105,45.20,36000
Bristol 45.5 Centerboard,111,45.30,36000
Bristol 47.7,111,47.60,34660
Bristol 56.6,45,56.40,54000
Bristol Corinthian 19/20,300,19.50,2724
Buccaneer 210 0B,282,21.00,
Buccaneer 220 Outboard,228,22.00,2500
Buccaneer 270 Outboard,207,27.00,5010
Buccaneer 295,168,29.30,6800
Buccaneer 305,210,30.50,10000
"Buccaneer Mod 295 ""Roulette""",168,29.30,6800
Buchan 29,162,29.00,
Buchan 30,180,30.00,
Buchan 305,204,30.00,
C&C 101,84,33.00,8338
C&C 110,93,36.30,10800
C&C 110 CF,90,36.70,10900
C&C 110 DK,87,36.40,10900
C&C 110 DK CF,84,36.70,10800
C&C 110 TPS CF,87,36.30,10900
C&C 115,66,37.80,11800
C&C 121,69,40.00,14100
C&C 121 W,75,40.00,14100
C&C 24,225,24.00,3200
C&C 24 SK,258,24.00,
C&C 25,225,25.00,4100
C&C 25 Inboard,222,25.00,4100
C&C 25 Outboard,228,25.00,4100
C&C 26,210,26.00,5200
C&C 27-1,213,27.00,6431
C&C 27-2,201,27.80,5500
C&C 27-3 Inboard,180,26.50,4420
C&C 27-3 Outboard,174,26.50,4420
C&C 29,177,29.00,7500
C&C 29 Mark II,174,29.00,6700
C&C 29-2 SD,180,29.00,7000
C&C 30,180,30.00,8000
C&C 30-2,159,30.00,8275
C&C 30-2 Wing Keel,171,29.90,8775
C&C 30-3,45,30.01,3995
C&C 31 Corvette,201,31.00,8000
C&C 32,171,32.00,8610
C&C 33,156,33.00,9800
C&C 33 Shoal Draft,159,33.00,
C&C 33-2,132,32.50,9400
C&C 34,147,34.00,10400
C&C 34 CB,153,34.00,11090
C&C 34 XL,93,35.50,11200
C&C 34 XL MD,99,35.50,12525
C&C 34+,105,35.50,12380
C&C 34+ CB,105,35.50,11725
C&C 34+ Wing,105,35.50,12525
C&C 34R,93,35.50,10800
C&C 35 Landfall,156,35.00,13000
C&C 35 Mark III,120,34.70,10825
C&C 35-1,126,35.00,10100
C&C 35-2,123,35.00,13800
C&C 35-2 Centerboard,126,35.00,13800
C&C 35-3,120,34.67,10825
C&C 35-3 CB,126,34.70,11275
C&C 35-3 W,129,34.70,10825
C&C 36,138,36.00,12000
C&C 36 Centerboard,144,36.00,12800
C&C 37,114,37.00,14300
C&C 37+,75,39.40,15900
C&C 37+ CB,81,39.40,16500
C&C 37+ Wing,81,39.40,16440
C&C 37R,63,39.40,15800
C&C 37XL,78,39.40,16700
C&C 38,123,38.00,14700
C&C 38 Centerboard,120,38.00,14700
C&C 38 Landfall,141,38.00,16700
C&C 38-3,108,37.50,14900
C&C 39,108,39.00,17000
C&C 40 Centerboard,102,40.00,17985
C&C 40 Centerboard Tall Rig,99,40.00,17985
C&C 40 Regular Mast & Deep Keel,96,40.00,17450
C&C 40 Regular Mast & Keel,99,40.00,17450
C&C 40 Tall Mast Deep Keel,90,40.00,17450
C&C 41,72,41.00,17750
C&C 41 Centerboard,81,41.00,17500
C&C 41 W,90,40.80,17500
C&C 42,87,42.00,
C&C 42 Landfall TR,144,42.00,18000
C&C 43,81,43.50,29360
C&C 43 Landfall,138,42.10,24000
C&C 43-2,81,43.00,22200
C&C 43-2 TM,75,43.60,20654
C&C 44 CB,69,44.20,20800
C&C 48,75,48.00,28000
C&C 48 Landfall,129,48.00,34000
C&C 50,48,50.00,31100
C&C 51 XL CB,36,52.00,48400
C&C 99 DK,96,32.50,9265
C&C 99 SD,105,32.50,9265
C&C MI-24,228,24.00,
"C&C Mod 32 ""Water Music""",159,32.00,10500
"C&C Mod 33 ""Sparkler III""",147,33.00,
"C&C Mod 34 ""C-Chele""",138,34.00,10400
"C&C Mod 34 ""Resolute""",138,34.00,
"C&C Mod 35-1 ""Decoy""",120,35.00,
"C&C Mod 35-1 ""Osprey""",114,35.00,
"C&C Mod 35-1 ""Zzzoom""",117,35.00,
"C&C Mod 35-2 ""Blue Eagle""",120,35.00,
"C&C Mod 35-2 ""Chickcharnie""",123,35.00,
"C&C Mod 37 ""Ceres""",105,37.00,12700
"C&C Mod 37R ""Wave Train""",66,40.00,16300
"C&C Mod 38 ""Cherokee""",111,37.90,14700
