boat,phrf,loa,displacement
"Custom ""Christopher Dragon""",36,43.00,14976
"Custom ""Christopher Dragon""",66,45.00,
"Custom ""Chute One""",84,37.40,16456
"Custom ""Claddagh""",75,41.50,19608
"Custom ""Claddagh""",57,40.00,16300
"Custom ""Conamor""",75,39.00,13600
"Custom ""Congere""",-90,80.00,
"Custom ""Corsta""",81,60.00,86000
"Custom ""Counterpoint""",159,29.10,11600
"Custom ""Country Pride""",81,43.90,25443
"Custom ""Courageous""",6,66.50,58000
"Custom ""Danger Zone""",-21,32.00,1800
"Custom ""Dauntless""",-30,65.00,
"Custom ""Dawn Treader""",84,39.50,
"Custom ""DEBBIE'S DIAMOND""",63,39.40,13900
"Custom ""Defiance""",33,51.50,34328
"Custom ""Denali""",81,42.30,18456
"Custom ""Dhobie""",99,41.50,26000
"Custom ""Diane""",,49.80,25913
"Custom ""Different Drummer""",63,40.00,6000
"Custom ""Diogenes""",105,36.00,11600
"Custom ""Donnybrook""",-87,72.30,30107
"Custom ""Dragon Fire""",69,41.70,21600
"Custom ""Eclipse""",48,40.30,12300
"Custom ""Elizabeth""",168,36.90,19064
"Custom ""Elske""",123,48.20,36153
"Custom ""Elusive""",,55.00,
"Custom ""Emily""",120,43.80,29010
"Custom ""EnCharette""",72,36.00,9500
"Custom ""Encore""",-73,73.00,73900
"Custom ""Enterprise""",66,52.10,32000
"Custom ""Epic""",69,40.00,
"Custom ""Equation""",-51,50.00,
"Custom ""Equinox""",45,46.20,20319
"Custom ""Equinox""",15,55.00,44859
"Custom ""Essence""",-42,90.00,215000
"Custom ""Evelution""",69,41.10,17625
"Custom ""Exit 12""",210,28.80,7300
"Custom ""Falcon""",-27,56.40,43322
"Custom ""Fazisi""",-69,82.80,48900
"Custom ""Fiddler""",75,41.80,20481
"Custom ""Fiddler""",-30,65.40,58000
"Custom ""Finally""",168,27.00,
"Custom ""Firebrand""",114,35.00,12500
"Custom ""Firewater""",111,36.40,12286
"Custom ""First Rate""",96,43.30,25000
"Custom ""Fling""",117,36.00,
"Custom ""Flying Cloud""",78,43.00,
"Custom ""Flyway II""",-24,55.50,30813
"Custom ""Flyway""",33,47.80,26000
"Custom ""Fortune""",84,50.00,26000
"Custom ""Freebooter""",117,39.00,16500
"Custom ""Froya""",87,46.30,34500
"Custom ""Full Tilt Boogie""",63,39.70,12162
"Custom ""Fury""",48,45.00,18767
"Custom ""Gallant",99,64.30,57879
"Custom ""Gemini""",99,39.20,22000
"Custom ""Glide""",84,36.60,11456
"Custom ""Gray Goose""",-69,72.00,65189
"Custom ""Green Dragon""",60,44.00,19509
"Custom ""Hard Eight""",6,41.00,12350
"Custom ""Harrier""",60,39.60,12483
"Custom ""Harrier""",-15,48.00,17904
"Custom ""Haxan""",198,26.40,3720
"Custom ""Heat Wave""",87,29.90,5400
"Custom ""HERCULES""",-105,79.70,59750
"Custom ""High Five""",15,40.00,11464
"Custom ""High Noon""",-12,41.00,10233
"Custom ""Hissar""",-30,62.90,58000
"Custom ""Hooligan""",36,42.10,11500
"Custom ""Horrendous""",201,36.60,
"Custom ""Hot 'N' Bothered""",192,24.00,2800
"Custom ""HOT FLASH""",111,37.60,10614
"Custom ""Hot Flash""",105,37.00,
"Custom ""Hotspur""",81,40.10,15157
"Custom ""Hullabaloo""",180,21.80,1500
"Custom ""Hydrotherapy""",84,26.30,2090
"Custom ""Idler""",,33.00,
"Custom ""Impression""",111,33.40,8000
"Custom ""Impulse""",63,42.00,
"Custom ""Irascible""",126,30.50,4300
"Custom ""J.A.R.D. Loose""",45,40.00,12750
"Custom ""Javelin""",-36,77.10,76380
"Custom ""Javelin""",-27,49.90,22600
"Custom ""Jingo""",81,42.00,18800
"Custom ""Josher III""",48,52.00,41245
"Custom ""Katabatic""",57,40.00,14000
"Custom ""KITTIWAKE""",45,48.20,36000
"Custom ""Knock on Wood""",114,37.00,19630
"Custom ""Kodiak""",-15,66.40,72518
"Custom ""leilani""",150,50.00,40000
"Custom ""Leverage""",63,40.00,13000
"Custom ""Lickety Split""",150,31.10,7900
"Custom ""Lillian""",273,22.00,2150
"Custom ""Lindy""",87,37.80,12400
"Custom ""Live Wire""",54,42.40,16841
"Custom ""Lotus""",108,33.80,9239
"Custom ""Louisiana Crude""",57,42.40,18100
"Custom ""Lucy Vincent""",189,30.30,7920
"Custom ""MadCap""",102,35.60,11600
"Custom ""Magali""",105,42.50,22046
"Custom ""Magic Moment""",141,52.00,49119
"Custom ""Magic""",171,38.00,
"Custom ""Magic""",60,37.10,10650
"Custom ""Magique Noire""",117,47.80,34000
"Custom ""Masquerade""",195,35.70,14000
"Custom ""Matriarch""",87,29.90,5600
"Custom ""Medallion""",15,52.70,34000
"Custom ""Menace""",105,34.00,
"Custom ""Messenger""",87,38.00,
"Custom ""Midnight Sun""",30,50.00,36013
"Custom ""Midnight Tiger""",57,42.20,17000
"Custom ""Mischief""",84,40.30,17066
"Custom ""Mischievous""",-60,63.40,39932
"Custom ""Mistral""",198,41.70,23000
"Custom ""Mistral""",180,41.60,25000
"Custom ""Misty""",186,34.60,12392
"Custom ""Moby Dick""",,41.90,22000
"Custom ""Mojo""",-57,68.00,28000
"Custom ""Moonbeam""",111,46.00,32000
"Custom ""Moonbeam""",123,40.00,19000
"Custom ""Moondance""",15,48.70,31000
"Custom ""Nasty Medicine""",24,40.00,11360
"Custom ""Necesse""",111,35.70,7275
"Custom ""Nevis""",84,37.00,11252
"Custom ""Next Boat""",147,36.30,15500
"Custom ""Nike""",78,41.70,27500
"Custom ""Nirvana""",69,39.60,12579
"Custom ""Nirvana""",69,39.60,12579
"Custom ""Nora""",186,40.50,18000
"Custom ""Numbers 94""",-6,47.60,20787
"Custom ""OcEaN Commotion""",111,34.00,11000
"Custom ""Ocean Drive""",93,38.20,16060
"Custom ""Olian Lee""",174,36.00,23000
"Custom ""Oracle""",6,43.90,17000
"Custom ""Orion""",48,41.00,15745
"Custom ""Outsider""",69,39.50,13164
"Custom ""Palawan VI""",63,59.70,62000
"Custom ""Panic""",168,28.00,
"Custom ""Patience""",117,43.80,27000
"Custom ""Pax NZL""",6,42.90,13948
"Custom ""Pequot""",66,44.30,23938
"Custom ""Phantom""",81,57.00,65000
"Custom ""Picante""",-30,47.50,17626
"Custom ""Polar Spirit""",171,36.00,16534
"Custom ""Presto""",45,42.30,13194
"Custom ""Ptarmigan""",-57,52.80,25478
"Custom ""Pterodactyl""",36,42.40,13780
"Custom ""Pterodactyl""",,43.00,12597
"Custom ""Pursuit""",48,47.50,18225
"Custom ""Quadrille""",60,45.00,20250
"Custom ""Queequeg""",186,40.00,
"Custom ""Quest""",111,42.80,25000
"Custom ""Quintessence""",93,38.20,16060
"Custom ""R WAVE 3""",6,41.00,13054
"Custom ""R Wave""",42,42.20,16832
"Custom ""Raindance""",117,37.70,14000
"Custom ""Rampage""",66,41.00,
"Custom ""Rampant""",18,39.30,10802
"Custom ""RamRod""",-27,47.00,14943
"Custom ""Ranger""",63,40.90,17400
"Custom ""RASCAL""",156,29.10,7200
"Custom ""Raven""",6,47.40,24174
"Custom ""Raven""",,42.40,13400
"Custom ""RAZZLEBERRY DRESSING""",81,35.70,10245
"Custom ""Real McCaw""",129,34.50,10500
"Custom ""Rebel""",132,39.40,
"Custom ""Rumours""",-3,37.10,7600
"Custom ""Rush""",63,40.00,12241
"Custom ""Salty""",66,45.00,22000
"Custom ""Samantha""",12,48.80,28860
"Custom ""Scamp""",24,44.20,17970
"Custom ""Scaramouche of Warwick""",57,47.90,36078
"Custom ""Scaramouche""",30,53.80,40000
"Custom ""Sceptere'd Isle""",42,62.80,56500
"Custom ""Scherherazade""",24,40.00,
"Custom ""Sea Leaf""",36,58.00,46900
"Custom ""Sea of Love""",132,34.80,10579
"Custom ""Secret Affair""",30,43.00,17200
"Custom ""Secret""",45,42.80,18113
"Custom ""Sedona""",18,42.90,15354
"Custom ""Seguin""",144,42.60,24094
"Custom ""Selkie""",108,38.30,18060
"Custom ""Serenity II""",24,51.50,32538
"Custom ""Serif""",162,30.00,7000
"Custom ""Settler""",57,42.10,20409
"Custom ""Sforzando""",12,44.60,16500
"Custom ""Shamrock Sensation""",33,40.30,12116
"Custom ""Shearwater""",186,54.00,40000
"Custom ""Sheerness""",45,41.10,15750
"Custom ""Shenanigans""",54,39.60,13900
"Custom ""Shere Khan""",15,44.70,16100
"Custom ""Sherpa""",114,35.00,
"Custom ""Silly Goose""",81,49.00,49036
"Custom ""Silver Star""",69,39.30,13400
"Custom ""Simba""",84,48.80,34000
"Custom ""Sirena""",,43.00,13200
"Custom ""Sixty-Six""",90,39.70,13900
"Custom ""Skoal VIII""",102,29.80,6660
"Custom ""Slider""",36,41.70,13700
"Custom ""Snow Leopard""",-9,50.20,23243
"Custom ""Snow Lion""",-9,50.20,24992
"Custom ""Somerset""",51,45.00,23500
"Custom ""Sonny""",-6,69.80,81950
"Custom ""Spank Me BT""",-90,82.20,85000
"Custom ""Spank Me""",48,44.20,20800
"Custom ""Spitfire""",6,47.20,18711
"Custom ""Springbok""",12,50.30,28000
"Custom ""St. Francis VII""",132,32.90,8834
"Custom ""Stampede""",18,58.00,56500
"Custom ""Starbuck""",165,40.00,22000
"Custom ""Stars & Stripes""",-42,52.50,12500
"Custom ""Stars and Stripes""",-39,50.20,19000
"Custom ""Streaker""",108,33.70,5000
"Custom ""Sunburst""",144,29.00,6500
"Custom ""Surcease""",261,20.60,3100
"Custom ""Surface Effect""",18,50.30,27630
"Custom ""Sweet Witch""",63,41.00,
"Custom ""Swept Away""",54,47.90,25000
"Custom ""Tabasco""",45,46.20,23000
"Custom ""Tabasco""",63,38.50,12000
"Custom ""Tahitian""",144,42.10,22800
"Custom ""Talisman""",81,44.20,21672
"Custom ""Talisman""",-39,52.80,24890
"Custom ""Tamarack""",81,37.80,10500
"Custom ""Tamarack""",93,37.80,10500
"Custom ""Tardis""",90,37.90,10600
"Custom ""Taxicab""",201,24.40,4500
"Custom ""Tewk""",180,37.00,
"Custom ""The Knife""",78,31.40,5500
"Custom ""Thunderhead""",42,58.10,44000
"Custom ""Ticonderoga""",39,72.00,
"Custom ""Tiger Too""",99,48.00,36000
"Custom ""Tigger""",156,29.40,10700
"Custom ""Tinette""",93,42.90,23400
"Custom ""Titan""",-138,74.80,30000
"Custom ""Top Gun""",69,39.60,12600
"Custom ""Toscana""",30,50.90,32000
"Custom ""Trader""",-72,70.00,36921
"Custom ""Uarshek 2""",-33,49.30,19056
"Custom ""Vanpire""",72,40.70,18219
"Custom ""Verna""",120,54.50,94000
"Custom ""Vixen""",120,38.80,20133
"Custom ""Voidoid V""",105,32.90,8000
"Custom ""Wahoo""",3,41.50,15576
"Custom ""Wai Rere""",33,31.30,4000
"Custom ""War Stories""",48,40.20,13039
"Custom ""Watch Out""",102,29.80,6660
"Custom ""Wave Train""",60,39.50,16686
"Custom ""Wave Train""",63,39.50,16686
"Custom ""Whisper""",72,50.20,43200
"Custom ""Who's Yo Daddy""",-6,44.80,15552
"Custom ""Wild Woman""",27,45.30,19000
"Custom ""Wildcat""",75,43.20,18475
"Custom ""Wind's Way""",69,46.80,29288
"Custom ""Windrush""",96,41.80,24000
"Custom ""Wired""",45,40.20,13228
"Custom ""Wonder""",-15,47.20,18027
"Custom ""Zam Zam""",318,18.20,2500
"Custom ""Zaraffa""",-99,66.50,41407
"Custom ""Zephyr""",168,26.00,4800
Custom 105 - WHITEHAWK,-24,105.00,169476
Custom 21 Frogger,120,21.30,2315
Custom 21 Valkyrja,93,21.30,1784
Custom 22 Blue's Brother,255,22.00,1750
Custom 25 Cassiopea,240,32.00,8000
Custom 25 EINSTEIN,147,25.20,4055
Custom 26 TRILOGY,186,26.00,
Custom 28 Unplugged,78,28.00,2600
Custom 30 Cowboy,111,30.00,6109
Custom 30 Details,114,29.97,7200
Custom 30 Motion,90,30.00,5600
Custom 30 Narwana,102,29.90,6694
Custom 30 Overproof,42,30.00,4260
Custom 32 Arabesque,150,31.55,7450
Custom 32 Bluto,75,32.00,4776
Custom 32 RockIt 2.0,69,32.00,5500
Custom 33 REVELATION,111,33.00,7640
"Custom 34 ""Aida""",216,33.80,10774
"Custom 35 ""In Theory""",45,34.90,4500
Custom 35 ZEFIRO TORNA,33,35.00,7010
"Custom 36 ""Rampant""",21,36.00,4550
Custom 37 Breakaway,84,36.50,10800
Custom 38,108,38.80,13750
Custom 38 NEVIS,81,38.00,14500
Custom 39 Fidelio,183,39.00,22000
Custom 39 Three Beans,27,39.00,8699
Custom 40 AVRA,21,40.00,14621
Custom 40 Caliente,51,40.20,11848
Custom 40 COALITION,57,39.60,14250
Custom 40 Desperado,9,40.20,14991
Custom 40 Gitana,204,39.69,26655
Custom 40 SOULMATES,30,40.18,13186
Custom 40 Spectre,51,39.70,11800
Custom 40 Spookie,-45,40.00,8600
Custom 40 TRADER,63,39.50,12031
"Custom 42 ""Golden Eye""",165,42.00,32000
Custom 43 AFTERGLOW,69,43.80,24000
Custom 43 TENACIOUS,66,42.90,18300
Custom 44 Miracle,12,44.60,17226
Custom 45 Arion,,44.50,14000
Custom 46,81,46.40,31000
Custom 46 ???,54,46.00,24000
Custom 46 NELLIE,129,46.50,27700
Custom 47 Carrilon,111,47.50,29500
Custom 47 IRIE,9,47.00,18367
Custom 47 WIRED,-6,47.00,17200
Custom 48,27,49.50,31500
Custom 48 Acadia,126,48.50,34200
Custom 48 Puffin,84,47.58,25500
Custom 48 WATER WITCH,18,48.80,9449
Custom 49,-30,49.00,19850
Custom 49 Hiro Maru,81,49.55,34800
Custom 50 ANGELITA,111,50.30,
Custom 50 FALCON,-36,50.00,18000
Custom 50 NOR'EASTER,111,49.90,25800
Custom 50 SNOW LION,-39,50.40,21265
Custom 50 STAR,123,50.00,28441
Custom 50 TENHO,75,50.50,37400
Custom 53 BERNICE,84,53.30,29000
Custom 54 SALTY GOOSE,30,54.00,30275
Custom 55 Hussar,15,55.00,44859
Custom 55 Irie 2,-60,54.40,20900
Custom 55 SIRENA 3,-39,55.00,26759
Custom 56 CAPER,60,56.30,45000
Custom 56 FLYING GOOSE,30,56.30,33045
Custom 60 Reef Points,-60,60.05,46812
Custom 65 Selemat,51,65.29,81061
Custom 65 The Blue Peter,39,65.00,72500
Custom 68 BLACK WATCH,39,67.90,74966
Custom 68 Simon Says,-75,68.48,28529
Custom 72 Sirona,-75,72.00,55000
D&M 22,234,22.00,3500
Dana 24,228,24.20,7200
Davellar 27,204,27.20,4800
Dawn 41,111,41.10,21000
Dawn 48 Ketch,96,48.00,29000
DB 1,117,33.00,7275
DB 2,111,33.90,6980
Deerfoot 2-62,57,62.10,38000
Dehler 34,132,33.10,8818
Dehler 36,84,35.80,13200
Dehler 38-2,72,37.07,15652
Dehler 38-Fractional,93,38.70,11022
Dehler 41 CR,93,40.10,19625
Dickerson 37,189,37.00,15950
Dolphin 23/24,248,22.80,2200
Doughdish 12.5,360,15.80,1500
Down East 38 Sloop,228,38.00,21000
Dragon 29,228,29.00,3747
Dufour 24,240,24.00,3000
Dufour 25/1800 IB,228,25.00,3978
Dufour 25/1800 OB,213,25.10,3969
Dufour 27,225,27.00,5840
Dufour 2800,201,28.00,6064
Dufour 29,186,29.00,7260
Dufour 30 Arpege,219,30.00,6600
Dufour 30CS SR,174,30.00,
Dufour 31 SD,192,31.00,9292
Dufour 31 TM,180,31.00,
Dufour 34,168,34.00,12000
Dufour 35,159,35.30,12600
Dufour 35 Valentijn 4800 TM,150,35.00,13045
Dufour 36 Classic,,36.33,13090
Dufour 36 Classic,132,36.30,13090
Dufour 36 P,78,36.00,14109
Dufour 40 A9000,93,40.00,19845
Dufour 40 TM,78,40.50,17490
Dufour 512,63,48.11,31305
Dufour F 31 3800,168,30.50,8375
Dufour Frers 30 Frac.,168,30.00,8360
Dufour Frers 30 Masthead,177,30.00,8360
Dutch Flyer 31,234,31.00,9900
E Sailing Yachts 33,105,33.50,6250
Elan 32,165,32.80,7600
Elan 434 Shoal Draft,126,43.10,24035
Elan 450 Racing,57,44.90,25812
Elan 450 Shoal Draft,66,44.60,24912
Elite 29 Short Mast,168,29.50,6173
Elite 30,150,30.00,6620
Elite 30 S,150,30.50,5732
Elite 32,150,31.80,8377
Elite 324,168,32.30,8600
Elite 346,126,34.20,12500
Elite 37,108,37.10,12787
Elliot 770,117,25.30,2875
"Elvstrom Mod T2 ""Different Drummer""",162,31.40,6800
Endevour 32,192,32.00,11600
Endevour 33,180,32.60,11350
Endevour 35,135,35.40,13250
Endevour 37 BS,186,37.00,20000
Endevour 38,132,38.30,17600
Endevour 40,171,40.00,25000
Endevour 42,144,42.30,25000
Endevour 43,150,43.00,33000
Endevour 43 K,153,43.00,
Ericson 23,264,23.00,2700
Ericson 23-2 Keel,222,22.90,3000
Ericson 25 FK,234,25.00,5300
Ericson 26,234,26.00,4400
Ericson 26-2 SD,210,25.80,5250
Ericson 27,237,27.00,6600
Ericson 28+,201,28.00,7500
Ericson 28+ Shoal Draft,207,28.00,7500
Ericson 28-2,198,28.00,7500
Ericson 29,207,29.00,8500
Ericson 29-2,192,29.00,
Ericson 30+,168,30.00,9000
Ericson 30-1,201,30.30,7800
Ericson 32,198,32.00,
Ericson 32-2,180,32.00,8800
Ericson 32-3,156,32.40,9800
Ericson 32-3 Shoal Draft,162,32.40,9800
Ericson 33,135,33.00,9500
Ericson 34,144,34.00,10000
Ericson 34-2,123,34.80,13000
Ericson 35,198,35.00,12000
Ericson 35-2,162,35.00,11600
Ericson 35-3,135,35.50,13000
Ericson 36,114,36.00,11600
Ericson 37,120,37.00,16000
Ericson 38,111,38.00,14900
Ericson 38 Shoal Draft,123,37.80,15500
Ericson 38-2 Wing,114,37.70,15500
Ericson 381,117,38.00,14400
Ericson 39,114,39.00,19000
Ericson 41,132,41.00,17800
Ericson 46,75,46.00,31500
Ericson Cruising 36,162,36.00,16000
"Ericson Mod 39 ""Naiad II""",111,39.00,19000
Esse 850,81,27.80,2590
ETAP 21,252,21.50,2530
Etchells,126,30.00,3400
Etchells Mod 22,126,29.90,4900
Europa 48,24,49.00,31499
Evelyn 24,192,24.00,
Evelyn 25,147,24.90,2900
Evelyn 26 Fractional,174,25.90,4500
Evelyn 26 MH,162,25.90,4705
Evelyn 29,162,29.00,
Evelyn 30,171,30.00,
Evelyn 32,150,32.00,7900
Evelyn 32-2 Inboard,102,32.00,4500
Evelyn 32-2 Outboard,96,32.00,4500
Evelyn 36,114,36.00,
Evelyn 42,45,42.20,11970
"Evelyn Mod 36 ""Stack O' Barley""",108,36.00,8500
Express 27,132,27.00,2450
Express 34,105,34.00,8500
Express 35,114,35.00,14300
Express 37,72,37.10,9500
Express 37-2,72,37.10,10500
Express 62,57,61.10,60000
F&C 30,165,30.00,
F&C 44 Centerboard,135,44.00,21400
Fahnrich 31,201,31.30,8928
Farr 10.20,114,33.90,8200
Farr 11S,-48,36.70,5300
Farr 27,186,27.00,
Farr 30,51,30.90,4548
Farr 30 ODR,51,30.80,4500
Farr 31,84,31.50,6905
Farr 33,105,33.80,9239
Farr 33-2,108,33.80,9534
Farr 36,,36.00,
Farr 36 ODR,6,36.10,6744
Farr 37 Dickerson,87,37.00,12200
Farr 39 ML,9,39.30,10204
Farr 395,30,39.30,12250
Farr 395 SD,51,39.30,12800
Farr 40,-3,40.70,10960
FARR 400,-9,38.71,8780
Farr 44,,44.50,16975
Farr 47,-18,47.50,17019
Farr 52,-60,52.00,20400
Farr 60,-78,60.20,36042
Fast 40,87,39.80,4100
Fast 410 SD,87,41.00,16354
Fastnet 45,117,44.90,25000
Feeling 326,144,31.10,10472
Finn 351 FR,120,35.30,11464
Finn 381,111,38.10,14705
Finn Flyer 31,162,30.85,7260
Finn Gulf 28,156,28.30,6930
Finn Gulf 38,117,38.00,13228
Finn Gulf 391,87,39.30,14320
Finya 53 Ketch,90,52.90,46194
Flying Buffalo 36,234,35.60,14883
Flying Tiger 10M,54,32.70,4900
Folkboat,312,25.00,5000
Formosa 45,162,45.00,31000
Freedom 21,222,21.70,2000
Freedom 24-2,168,24.50,3250
Freedom 25,201,25.70,3500
Freedom 30 SD,189,30.00,7660
Freedom 32 DK,165,32.70,9000
"Freedom 32 M ""Petrel""",159,32.70,9000
Freedom 33 CB,177,33.00,12000
Freedom 35,141,35.30,15000
Freedom 35 W,156,35.40,14611
Freedom 36 Sloop,153,36.50,13400
Freedom 36 Sloop Shoal Draft,150,36.50,13400
Freedom 38,156,37.90,14370
Freedom 39,171,39.00,18500
Freedom 39 K,159,39.00,18500
Freedom 40,102,40.40,23762
Freedom 40 CB,180,40.00,22000
Freedom 44,132,44.00,24000
Freedom 45,120,44.40,27500
Freedom 45 W,126,44.40,27500
"Freedom Mod 36 ""Hot Water""",144,36.50,13400
"Freedom Mod 36 ""Way to Go""",150,36.50,13400
"Freedom Mod 40 ""Etoile""",168,40.00,22000
Frers 30,129,29.90,7285
Frers 31 Tall Mast,165,31.00,
Frers 33,111,33.30,9000
Frers 36,90,36.20,10900
Frers 38,78,38.50,14500
Frers 38 W,84,38.00,
Frers 41,75,40.50,15950
Frers 41 OFS,78,40.50,18000
Frers 41 Tall Mast,72,40.50,15950
Frers 41 W,78,40.50,15950
Frers 43 Tall Mast,90,43.00,
Frers 45,39,45.00,21667
Frers 45 W,54,45.00,25586
Frers 50,27,50.00,28000
Frers F3,96,36.20,11192
Frers F3 Tall Mast,93,36.20,11192
Friendship 40,102,41.30,22500
Fuji 35 Ketch,216,35.00,16300
Galaxy 32 CB,192,32.00,
"Ganbare Mod 35 ""B.E.Witch""",111,35.00,
"Ganbare Mod 35 ""Not by Bread Alone""",102,35.00,12007
"Ganbare Mod 35 ""Sleeper""",108,35.50,13449
Gannet 40,81,39.90,15200
Given 27,192,27.00,
Gladiator 24/23,240,24.00,3850
Gladiator 33,141,32.80,11000
Golden Eye 18,258,18.00,
Golden Gambit 26,195,26.00,3598
Golden Wave 42,96,42.00,25400
Goman Express 20,234,20.00,2000
Goman Express 35,114,35.00,14300
GP 26,81,25.92,2200
Grampian 23,270,23.00,3200
Grampian 26 Inboard,228,26.00,5600
Grampian 28,201,28.00,6900
Grampian 30 TM,189,30.00,8600
Grand Soleil 36,129,35.80,12125
Grand Soleil 36 TM,120,35.80,12125
Grand Soleil 37,78,38.10,15000
Grand Soleil 39 TM,108,41.00,18260
Grand Soleil 46.3 SD SR,78,45.80,24300
Grand Soleil 46.3 SR,72,45.80,25500
Grand Soleil 50-2 DK,66,50.00,28600
Great Dane 28,237,28.00,8500
Greenwich 24,270,24.00,3825
Gulf Coast 22,222,22.00,
Gulf Coast 23,276,23.00,1900
Gulf Coast 26,234,26.00,4800
Gulfstar 32,276,32.00,
Gulfstar 37,156,37.00,19500
Gulfstar 39 Sailmaster,144,39.60,19000
Gulfstar 40,102,40.00,23000
Gulfstar 40 Motorsailer,186,40.00,20000
Gulfstar 41,150,41.00,22000
Gulfstar 41 K,159,41.00,22000
Gulfstar 43,123,43.00,22000
Gulfstar 44 Tall Mast,156,44.70,26000
Gulfstar 54,117,54.50,50000
Gulfstar 60 SD,48,60.50,63000
Gulfstream 30,210,30.00,
Halberg Rassey 29,198,29.20,8379
Halberg Rassey 31,222,31.00,9920
Halberg Rassey 34,144,33.80,11650
Halberg Rassey 352,180,34.60,14800
Halberg Rassey 36,153,35.70,16535
Halberg Rassey 42,162,42.00,25368
Halberg Rassey 43,135,44.00,28000
Hans Christian 33,222,32.80,18500
Hans Christian 41,162,40.90,35500
Hans Christian 43,150,43.00,
Hanse 341,135,34.00,11905
Hanse 345 Shoal Draft,141,34.12,14010
Hanse 370 e,114,37.30,14991
Hanse 375,114,37.25,15873
Hanse 400,78,39.70,18739
Hanse 430e DK,81,43.60,23058
Hanse 470e,39,46.60,26932
Hanse 545,24,53.30,41226
Hanse 575,54,56.25,50585
Hanse 575 Deep Keel,48,56.25,50585
Harbor 20,231,20.00,1800
Harbor 25,177,25.75,4235
Harmony 22,192,22.00,3000
Hartmann Palmer 38 CB,126,38.00,20600
Hawkfarm 28 MH,162,28.00,5700
Helms 30,198,30.00,8400
Henderson 30 ODR,42,30.80,3800
Heritage 1 Ton,117,36.90,12528
"Heritage Mod 1T ""Vamoose""",117,36.00,15400
"Herreshoff ""S"" boat ODR",210,27.00,6500
Herreshoff 18,321,18.20,2500
Herreshoff 28 Ketch,255,28.00,
Herreshoff 28 Sloop,171,28.00,
"Herreshoff Mod 28 Ketch ""Helena""",258,28.00,9300
Herreshoff Rozinante Canoe Yawl/Ketch,216,28.00,6600
Hinckley 35 Y,189,35.50,13500
Hinckley 35 Y TM,186,35.80,14250
Hinckley 36,252,36.00,
Hinckley 38,156,37.40,17265
Hinckley 38 SR,165,37.50,17500
Hinckley 40-2 Yawl,177,40.80,20000
Hinckley 41,150,41.00,
Hinckley 41 Y,165,41.20,18500
Hinckley 41Comp,132,41.40,21500
Hinckley 43,117,42.80,25000
Hinckley 43C,69,43.00,
Hinckley 51 Comp,42,51.00,39200
Hinckley 57 Yawl,36,57.00,45000
Hinckley 59 CB,57,59.30,63000
Hinckley Bermuda 40 Mk I,174,40.00,
Hinckley Bermuda 40 Mk II,174,40.00,
Hinckley Bermuda 40 Mk III,165,40.80,20000
Hinckley Bermuda 50,-30,49.80,30637
Hinckley Pilot 35,183,34.30,13710
Hinckley Sou'wester 42 CB,105,42.80,24000
Hinckley SW 42-2 CB,90,42.30,23039
Hinckley SW 51,69,50.80,39000
Hinckley SW 51 Yawl Centerboard,72,51.16,44000
Hobie 33,105,33.00,4200
Hobie 33 Tall Mast,99,33.00,4200
Hobie Magic 25,42,24.50,1870
Holiday 30,288,30.00,8950
Holiday 35,186,35.00,
Holland 30 T2,159,30.00,
Holland 36 One Ton,111,36.00,
Holland 41,90,41.00,
Holland 47,60,47.00,
Holland 52,57,52.00,38000
Hood 2 Ton,84,42.00,
Hood 35,147,38.00,15500
Hood 36 1 Ton,108,36.00,
Hood 38,126,38.00,23336
Hood 52,75,52.40,55000
Hughes 25,234,25.00,4210
Hughes 38-1,153,38.00,14000
Humphries 38,105,37.80,13280
Hunter 23 WK,240,23.30,2450
Hunter 25 Outboard,228,24.90,4400
Hunter 25 SK,240,25.00,7000
Hunter 25.5,231,25.60,4500
Hunter 26.5,186,26.50,4400
Hunter 26.5 IB,192,26.50,
Hunter 27 TM,216,27.00,7000
Hunter 27-2 IB,219,26.50,5000
Hunter 27-2 OB,213,26.60,5000
Hunter 28,189,28.00,7400
Hunter 28.5,183,28.40,7000
Hunter 29.5 ODR,192,29.50,7000
Hunter 30,168,30.00,9700
Hunter 30 CB,174,30.00,9500
Hunter 30-2 T,171,30.00,9500
Hunter 31,165,31.00,9700
Hunter 310 SD,171,30.80,8500
Hunter 320 W,165,30.80,8550
Hunter 33,162,33.00,10600
Hunter 33.5,153,33.30,11000
Hunter 33.6,153,33.50,11030
Hunter 333,153,33.20,10500
Hunter 34,150,34.00,11820
Hunter 340 SD,159,33.80,11030
Hunter 35 Legend,120,35.60,12100
Hunter 35 Legend Wing,135,36.00,16400
Hunter 35.5,144,35.50,13000
Hunter 356 W,132,35.50,13900
Hunter 36,150,36.00,12500
Hunter 37,141,37.00,17000
Hunter 37 Cutter,162,37.00,17800
Hunter 37 Legend,108,37.50,13900
Hunter 37 Legend Wing,120,37.50,14900
Hunter 37 SD,144,37.00,17000
Hunter 37.5 Legend,126,37.00,16400
Hunter 37.6,111,37.30,15000
Hunter 38 W,108,38.20,18326
Hunter 40 Legend,108,39.60,17400
Hunter 40 Legend Shoal Draft,114,40.00,17900
Hunter 40.5 Legend Wing,120,40.20,20000
Hunter 41 DS,132,38.80,19400
Hunter 410,120,40.70,20000
Hunter 42 Passage,102,42.50,22000
Hunter 420,120,40.70,29614
Hunter 426,117,43.30,22936
