boat,phrf,loa
Beneteau First 42 Short Rig,81,43.70
Beneteau First Class 10,99,34.20
Beneteau First Class 10 Fractional,102,34.30
"Beneteau Mod 38 ""Nepenthe""",99,40.20
Beneteau Oceanis 281 W,198,28.50
Beneteau Oceanis 311,156,32.30
Beneteau Oceanis 321 SD,165,32.60
Beneteau Oceanis 323,162,32.80
Beneteau Oceanis 331,156,33.90
Beneteau Oceanis 34,150,33.92
Beneteau Oceanis 350 W,138,33.70
Beneteau Oceanis 351,150,35.00
Beneteau Oceanis 361 Wing,144,36.50
Beneteau Oceanis 37,129,37.80
Beneteau Oceanis 370 Wing,123,35.70
Beneteau Oceanis 373,111,37.80
Beneteau Oceanis 381,138,38.50
Beneteau Oceanis 390 Wing,129,38.30
Beneteau Oceanis 400,111,39.80
Beneteau Oceanis 400 SD,120,39.80
Beneteau Oceanis 40CC,111,40.80
Beneteau Oceanis 411,129,41.70
Beneteau Oceanis 423,132,43.20
Beneteau Oceanis 423 Shoal Draft,138,43.20
Beneteau Oceanis 430,105,42.80
Beneteau Oceanis 44 CC,126,44.60
Beneteau Oceanis 440 Wing,120,44.30
Beneteau Oceanis 45 Shoal Draft,114,45.80
Beneteau Oceanis 461,111,46.60
Beneteau Oceanis 473 SD,72,46.90
Beneteau Oceanis 48 Shoal Draft,72,47.90
Beneteau Oceanis 500,75,49.80
Bianca 101,132,33.00
Black Watch 24,231,24.00
Block Island 40,174,40.70
Blue Jacket 40,66,39.80
Bluenose 24,264,24.00
Blusail 24,123,24.00
Bombay Clipper 31,204,31.00
Boston Whaler Harpoon 6.2,234,20.00
Bounty 41 II,174,41.00
Bowman 44 Corsair,117,44.30
Bowman 57 K,93,57.00
Bravura 29 SD,81,29.90
Brenta 38,42,38.30
Brewer 12.8 Centerboard,147,42.00
Bridges Point 24,243,24.00
Bristol 24 Corsair,231,24.00
Bristol 26,240,26.00
Bristol 27,225,27.00
Bristol 28,225,28.00
Bristol 29,228,29.00
Bristol 29.9,183,29.90
