boat,phrf,loa
"Custom ""Medallion""",15,52.70
"Custom ""Menace""",105,34.00
"Custom ""Messenger""",87,38.00
"Custom ""Midnight Sun""",30,50.00
"Custom ""Midnight Tiger""",57,42.20
"Custom ""Mischief""",84,40.30
"Custom ""Mischievous""",-60,63.40
"Custom ""Mistral""",198,41.70
"Custom ""Mistral""",180,41.60
"Custom ""Misty""",186,34.60
"Custom ""Moby Dick""",,41.90
"Custom ""Mojo""",-57,68.00
"Custom ""Moonbeam""",111,46.00
"Custom ""Moonbeam""",123,40.00
"Custom ""Moondance""",15,48.70
"Custom ""Nasty Medicine""",24,40.00
"Custom ""Necesse""",111,35.70
"Custom ""Nevis""",84,37.00
"Custom ""Next Boat""",147,36.30
"Custom ""Nike""",78,41.70
"Custom ""Nirvana""",69,39.60
"Custom ""Nirvana""",69,39.60
"Custom ""Nora""",186,40.50
"Custom ""Numbers 94""",-6,47.60
"Custom ""OcEaN Commotion""",111,34.00
"Custom ""Ocean Drive""",93,38.20
"Custom ""Olian Lee""",174,36.00
"Custom ""Oracle""",6,43.90
"Custom ""Orion""",48,41.00
"Custom ""Outsider""",69,39.50
"Custom ""Palawan VI""",63,59.70
"Custom ""Panic""",168,28.00
"Custom ""Patience""",117,43.80
"Custom ""Pax NZL""",6,42.90
"Custom ""Pequot""",66,44.30
"Custom ""Phantom""",81,57.00
"Custom ""Picante""",-30,47.50
"Custom ""Polar Spirit""",171,36.00
"Custom ""Presto""",45,42.30
"Custom ""Ptarmigan""",-57,52.80
"Custom ""Pterodactyl""",36,42.40
"Custom ""Pterodactyl""",,43.00
"Custom ""Pursuit""",48,47.50
"Custom ""Quadrille""",60,45.00
"Custom ""Queequeg""",186,40.00
"Custom ""Quest""",111,42.80
"Custom ""Quintessence""",93,38.20
"Custom ""R WAVE 3""",6,41.00
"Custom ""R Wave""",42,42.20
"Custom ""Raindance""",117,37.70
"Custom ""Rampage""",66,41.00
"Custom ""Rampant""",18,39.30
"Custom ""RamRod""",-27,47.00
"Custom ""Ranger""",63,40.90
"Custom ""RASCAL""",156,29.10
"Custom ""Raven""",6,47.40
"Custom ""Raven""",,42.40
"Custom ""RAZZLEBERRY DRESSING""",81,35.70
"Custom ""Real McCaw""",129,34.50
"Custom ""Rebel""",132,39.40
"Custom ""Rumours""",-3,37.10
"Custom ""Rush""",63,40.00
"Custom ""Salty""",66,45.00
"Custom ""Samantha""",12,48.80
"Custom ""Scamp""",24,44.20
"Custom ""Scaramouche of Warwick""",57,47.90
"Custom ""Scaramouche""",30,53.80
"Custom ""Sceptere'd Isle""",42,62.80
"Custom ""Scherherazade""",24,40.00
"Custom ""Sea Leaf""",36,58.00
"Custom ""Sea of Love""",132,34.80
"Custom ""Secret Affair""",30,43.00
"Custom ""Secret""",45,42.80
"Custom ""Sedona""",18,42.90
"Custom ""Seguin""",144,42.60
"Custom ""Selkie""",108,38.30
"Custom ""Serenity II""",24,51.50
"Custom ""Serif""",162,30.00
"Custom ""Settler""",57,42.10
"Custom ""Sforzando""",12,44.60
"Custom ""Shamrock Sensation""",33,40.30
"Custom ""Shearwater""",186,54.00
"Custom ""Sheerness""",45,41.10
"Custom ""Shenanigans""",54,39.60
"Custom ""Shere Khan""",15,44.70
"Custom ""Sherpa""",114,35.00
"Custom ""Silly Goose""",81,49.00
"Custom ""Silver Star""",69,39.30
"Custom ""Simba""",84,48.80
"Custom ""Sirena""",,43.00
"Custom ""Sixty-Six""",90,39.70
"Custom ""Skoal VIII""",102,29.80
"Custom ""Slider""",36,41.70
"Custom ""Snow Leopard""",-9,50.20
"Custom ""Snow Lion""",-9,50.20
"Custom ""Somerset""",51,45.00
"Custom ""Sonny""",-6,69.80
"Custom ""Spank Me BT""",-90,82.20
"Custom ""Spank Me""",48,44.20
"Custom ""Spitfire""",6,47.20
"Custom ""Springbok""",12,50.30
"Custom ""St. Francis VII""",132,32.90
"Custom ""Stampede""",18,58.00
"Custom ""Starbuck""",165,40.00
"Custom ""Stars & Stripes""",-42,52.50
"Custom ""Stars and Stripes""",-39,50.20
"Custom ""Streaker""",108,33.70
"Custom ""Sunburst""",144,29.00
"Custom ""Surcease""",261,20.60
"Custom ""Surface Effect""",18,50.30
"Custom ""Sweet Witch""",63,41.00
"Custom ""Swept Away""",54,47.90
"Custom ""Tabasco""",45,46.20
"Custom ""Tabasco""",63,38.50
"Custom ""Tahitian""",144,42.10
"Custom ""Talisman""",81,44.20
"Custom ""Talisman""",-39,52.80
"Custom ""Tamarack""",81,37.80
"Custom ""Tamarack""",93,37.80
"Custom ""Tardis""",90,37.90
"Custom ""Taxicab""",201,24.40
"Custom ""Tewk""",180,37.00
"Custom ""The Knife""",78,31.40
"Custom ""Thunderhead""",42,58.10
"Custom ""Ticonderoga""",39,72.00
"Custom ""Tiger Too""",99,48.00
"Custom ""Tigger""",156,29.40
"Custom ""Tinette""",93,42.90
"Custom ""Titan""",-138,74.80
"Custom ""Top Gun""",69,39.60
"Custom ""Toscana""",30,50.90
"Custom ""Trader""",-72,70.00
"Custom ""Uarshek 2""",-33,49.30
"Custom ""Vanpire""",72,40.70
"Custom ""Verna""",120,54.50
"Custom ""Vixen""",120,38.80
"Custom ""Voidoid V""",105,32.90
"Custom ""Wahoo""",3,41.50
"Custom ""Wai Rere""",33,31.30
"Custom ""War Stories""",48,40.20
"Custom ""Watch Out""",102,29.80
"Custom ""Wave Train""",60,39.50
"Custom ""Wave Train""",63,39.50
"Custom ""Whisper""",72,50.20
"Custom ""Who's Yo Daddy""",-6,44.80
"Custom ""Wild Woman""",27,45.30
"Custom ""Wildcat""",75,43.20
"Custom ""Wind's Way""",69,46.80
"Custom ""Windrush""",96,41.80
"Custom ""Wired""",45,40.20
"Custom ""Wonder""",-15,47.20
"Custom ""Zam Zam""",318,18.20
"Custom ""Zaraffa""",-99,66.50
"Custom ""Zephyr""",168,26.00
Custom 105 - WHITEHAWK,-24,105.00
Custom 21 Frogger,120,21.30
Custom 21 Valkyrja,93,21.30
Custom 22 Blue's Brother,255,22.00
Custom 25 Cassiopea,240,32.00
Custom 25 EINSTEIN,147,25.20
Custom 26 TRILOGY,186,26.00
Custom 28 Unplugged,78,28.00
Custom 30 Cowboy,111,30.00
Custom 30 Details,114,29.97
Custom 30 Motion,90,30.00
Custom 30 Narwana,102,29.90
Custom 30 Overproof,42,30.00
Custom 32 Arabesque,150,31.55
Custom 32 Bluto,75,32.00
Custom 32 RockIt 2.0,69,32.00
Custom 33 REVELATION,111,33.00
"Custom 34 ""Aida""",216,33.80
"Custom 35 ""In Theory""",45,34.90
Custom 35 ZEFIRO TORNA,33,35.00
"Custom 36 ""Rampant""",21,36.00
Custom 37 Breakaway,84,36.50
Custom 38,108,38.80
Custom 38 NEVIS,81,38.00
Custom 39 Fidelio,183,39.00
Custom 39 Three Beans,27,39.00
Custom 40 AVRA,21,40.00
Custom 40 Caliente,51,40.20
Custom 40 COALITION,57,39.60
Custom 40 Desperado,9,40.20
Custom 40 Gitana,204,39.69
Custom 40 SOULMATES,30,40.18
Custom 40 Spectre,51,39.70
Custom 40 Spookie,-45,40.00
Custom 40 TRADER,63,39.50
"Custom 42 ""Golden Eye""",165,42.00
Custom 43 AFTERGLOW,69,43.80
Custom 43 TENACIOUS,66,42.90
Custom 44 Miracle,12,44.60
Custom 45 Arion,,44.50
Custom 46,81,46.40
Custom 46 ???,54,46.00
Custom 46 NELLIE,129,46.50
Custom 47 Carrilon,111,47.50
Custom 47 IRIE,9,47.00
Custom 47 WIRED,-6,47.00
Custom 48,27,49.50
Custom 48 Acadia,126,48.50
Custom 48 Puffin,84,47.58
Custom 48 WATER WITCH,18,48.80
Custom 49,-30,49.00
Custom 49 Hiro Maru,81,49.55
Custom 50 ANGELITA,111,50.30
Custom 50 FALCON,-36,50.00
Custom 50 NOR'EASTER,111,49.90
Custom 50 SNOW LION,-39,50.40
Custom 50 STAR,123,50.00
Custom 50 TENHO,75,50.50
Custom 53 BERNICE,84,53.30
Custom 54 SALTY GOOSE,30,54.00
Custom 55 Hussar,15,55.00
Custom 55 Irie 2,-60,54.40
Custom 55 SIRENA 3,-39,55.00
Custom 56 CAPER,60,56.30
Custom 56 FLYING GOOSE,30,56.30
Custom 60 Reef Points,-60,60.05
Custom 65 Selemat,51,65.29
Custom 65 The Blue Peter,39,65.00
Custom 68 BLACK WATCH,39,67.90
Custom 68 Simon Says,-75,68.48
Custom 72 Sirona,-75,72.00
D&M 22,234,22.00
Dana 24,228,24.20
Davellar 27,204,27.20
Dawn 41,111,41.10
Dawn 48 Ketch,96,48.00
DB 1,117,33.00
DB 2,111,33.90
Deerfoot 2-62,57,62.10
Dehler 34,132,33.10
Dehler 36,84,35.80
Dehler 38-2,72,37.07
Dehler 38-Fractional,93,38.70
Dehler 41 CR,93,40.10
Dickerson 37,189,37.00
Dolphin 23/24,248,22.80
Doughdish 12.5,360,15.80
Down East 38 Sloop,228,38.00
Dragon 29,228,29.00
Dufour 24,240,24.00
Dufour 25/1800 IB,228,25.00
Dufour 25/1800 OB,213,25.10
Dufour 27,225,27.00
Dufour 2800,201,28.00
Dufour 29,186,29.00
Dufour 30 Arpege,219,30.00
Dufour 30CS SR,174,30.00
Dufour 31 SD,192,31.00
Dufour 31 TM,180,31.00
Dufour 34,168,34.00
Dufour 35,159,35.30
Dufour 35 Valentijn 4800 TM,150,35.00
Dufour 36 Classic,,36.33
Dufour 36 Classic,132,36.30
Dufour 36 P,78,36.00
Dufour 40 A9000,93,40.00
Dufour 40 TM,78,40.50
Dufour 512,63,48.11
Dufour F 31 3800,168,30.50
Dufour Frers 30 Frac.,168,30.00
Dufour Frers 30 Masthead,177,30.00
Dutch Flyer 31,234,31.00
E Sailing Yachts 33,105,33.50
Elan 32,165,32.80
Elan 434 Shoal Draft,126,43.10
Elan 450 Racing,57,44.90
Elan 450 Shoal Draft,66,44.60
Elite 29 Short Mast,168,29.50
Elite 30,150,30.00
Elite 30 S,150,30.50
Elite 32,150,31.80
Elite 324,168,32.30
Elite 346,126,34.20
Elite 37,108,37.10
Elliot 770,117,25.30
"Elvstrom Mod T2 ""Different Drummer""",162,31.40
Endevour 32,192,32.00
Endevour 33,180,32.60
Endevour 35,135,35.40
Endevour 37 BS,186,37.00
Endevour 38,132,38.30
Endevour 40,171,40.00
Endevour 42,144,42.30
Endevour 43,150,43.00
Endevour 43 K,153,43.00
Ericson 23,264,23.00
Ericson 23-2 Keel,222,22.90
Ericson 25 FK,234,25.00
Ericson 26,234,26.00
Ericson 26-2 SD,210,25.80
Ericson 27,237,27.00
Ericson 28+,201,28.00
Ericson 28+ Shoal Draft,207,28.00
Ericson 28-2,198,28.00
Ericson 29,207,29.00
Ericson 29-2,192,29.00
Ericson 30+,168,30.00
Ericson 30-1,201,30.30
Ericson 32,198,32.00
Ericson 32-2,180,32.00
Ericson 32-3,156,32.40
Ericson 32-3 Shoal Draft,162,32.40
Ericson 33,135,33.00
Ericson 34,144,34.00
Ericson 34-2,123,34.80
Ericson 35,198,35.00
Ericson 35-2,162,35.00
Ericson 35-3,135,35.50
Ericson 36,114,36.00
Ericson 37,120,37.00
Ericson 38,111,38.00
Ericson 38 Shoal Draft,123,37.80
Ericson 38-2 Wing,114,37.70
Ericson 381,117,38.00
Ericson 39,114,39.00
Ericson 41,132,41.00
Ericson 46,75,46.00
Ericson Cruising 36,162,36.00
"Ericson Mod 39 ""Naiad II""",111,39.00
Esse 850,81,27.80
ETAP 21,252,21.50
Etchells,126,30.00
Etchells Mod 22,126,29.90
Europa 48,24,49.00
Evelyn 24,192,24.00
Evelyn 25,147,24.90
Evelyn 26 Fractional,174,25.90
Evelyn 26 MH,162,25.90
Evelyn 29,162,29.00
Evelyn 30,171,30.00
Evelyn 32,150,32.00
Evelyn 32-2 Inboard,102,32.00
Evelyn 32-2 Outboard,96,32.00
Evelyn 36,114,36.00
Evelyn 42,45,42.20
"Evelyn Mod 36 ""Stack O' Barley""",108,36.00
Express 27,132,27.00
Express 34,105,34.00
Express 35,114,35.00
Express 37,72,37.10
Express 37-2,72,37.10
Express 62,57,61.10
F&C 30,165,30.00
F&C 44 Centerboard,135,44.00
Fahnrich 31,201,31.30
Farr 10.20,114,33.90
Farr 11S,-48,36.70
Farr 27,186,27.00
Farr 30,51,30.90
Farr 30 ODR,51,30.80
Farr 31,84,31.50
Farr 33,105,33.80
Farr 33-2,108,33.80
Farr 36,,36.00
Farr 36 ODR,6,36.10
Farr 37 Dickerson,87,37.00
Farr 39 ML,9,39.30
Farr 395,30,39.30
Farr 395 SD,51,39.30
Farr 40,-3,40.70
FARR 400,-9,38.71
Farr 44,,44.50
Farr 47,-18,47.50
Farr 52,-60,52.00
Farr 60,-78,60.20
Fast 40,87,39.80
Fast 410 SD,87,41.00
Fastnet 45,117,44.90
Feeling 326,144,31.10
Finn 351 FR,120,35.30
Finn 381,111,38.10
Finn Flyer 31,162,30.85
Finn Gulf 28,156,28.30
Finn Gulf 38,117,38.00
Finn Gulf 391,87,39.30
Finya 53 Ketch,90,52.90
Flying Buffalo 36,234,35.60
Flying Tiger 10M,54,32.70
Folkboat,312,25.00
Formosa 45,162,45.00
Freedom 21,222,21.70
Freedom 24-2,168,24.50
Freedom 25,201,25.70
Freedom 30 SD,189,30.00
Freedom 32 DK,165,32.70
"Freedom 32 M ""Petrel""",159,32.70
Freedom 33 CB,177,33.00
Freedom 35,141,35.30
Freedom 35 W,156,35.40
Freedom 36 Sloop,153,36.50
Freedom 36 Sloop Shoal Draft,150,36.50
Freedom 38,156,37.90
Freedom 39,171,39.00
Freedom 39 K,159,39.00
Freedom 40,102,40.40
Freedom 40 CB,180,40.00
Freedom 44,132,44.00
Freedom 45,120,44.40
Freedom 45 W,126,44.40
"Freedom Mod 36 ""Hot Water""",144,36.50
"Freedom Mod 36 ""Way to Go""",150,36.50
"Freedom Mod 40 ""Etoile""",168,40.00
Frers 30,129,29.90
Frers 31 Tall Mast,165,31.00
Frers 33,111,33.30
Frers 36,90,36.20
Frers 38,78,38.50
Frers 38 W,84,38.00
Frers 41,75,40.50
Frers 41 OFS,78,40.50
Frers 41 Tall Mast,72,40.50
Frers 41 W,78,40.50
Frers 43 Tall Mast,90,43.00
Frers 45,39,45.00
Frers 45 W,54,45.00
Frers 50,27,50.00
Frers F3,96,36.20
Frers F3 Tall Mast,93,36.20
Friendship 40,102,41.30
Fuji 35 Ketch,216,35.00
Galaxy 32 CB,192,32.00
"Ganbare Mod 35 ""B.E.Witch""",111,35.00
"Ganbare Mod 35 ""Not by Bread Alone""",102,35.00
"Ganbare Mod 35 ""Sleeper""",108,35.50
Gannet 40,81,39.90
Ginn Fizz,156,0.00
Given 27,192,27.00
Gladiator 24/23,240,24.00
Gladiator 33,141,32.80
Golden Eye 18,258,18.00
Golden Gambit 26,195,26.00
Golden Wave 42,96,42.00
Goman Express 20,234,20.00
Goman Express 35,114,35.00
GP 26,81,25.92
Grampian 23,270,23.00
Grampian 26 Inboard,228,26.00
Grampian 28,201,28.00
Grampian 30 TM,189,30.00
Grand Soleil 36,129,35.80
Grand Soleil 36 TM,120,35.80
Grand Soleil 37,78,38.10
Grand Soleil 39 TM,108,41.00
Grand Soleil 46.3 SD SR,78,45.80
Grand Soleil 46.3 SR,72,45.80
Grand Soleil 50-2 DK,66,50.00
Great Dane 28,237,28.00
Greenwich 24,270,24.00
Gulf Coast 22,222,22.00
Gulf Coast 23,276,23.00
Gulf Coast 26,234,26.00
Gulfstar 32,276,32.00
Gulfstar 37,156,37.00
Gulfstar 39 Sailmaster,144,39.60
Gulfstar 40,102,40.00
Gulfstar 40 Motorsailer,186,40.00
Gulfstar 41,150,41.00
Gulfstar 41 K,159,41.00
Gulfstar 43,123,43.00
Gulfstar 44 Tall Mast,156,44.70
Gulfstar 54,117,54.50
Gulfstar 60 SD,48,60.50
Gulfstream 30,210,30.00
Halberg Rassey 29,198,29.20
Halberg Rassey 31,222,31.00
Halberg Rassey 34,144,33.80
Halberg Rassey 352,180,34.60
Halberg Rassey 36,153,35.70
Halberg Rassey 42,162,42.00
Halberg Rassey 43,135,44.00
Hans Christian 33,222,32.80
Hans Christian 41,162,40.90
Hans Christian 43,150,43.00
Hanse 341,135,34.00
Hanse 345 Shoal Draft,141,34.12
Hanse 370 e,114,37.30
Hanse 375,114,37.25
Hanse 400,78,39.70
Hanse 430e DK,81,43.60
Hanse 470e,39,46.60
Hanse 545,24,53.30
Hanse 575,54,56.25
Hanse 575 Deep Keel,48,56.25
Harbor 20,231,20.00
Harbor 25,177,25.75
Harmony 22,192,22.00
Hartmann Palmer 38 CB,126,38.00
Hawkfarm 28 MH,162,28.00
Helms 30,198,30.00
Henderson 30 ODR,42,30.80
Heritage 1 Ton,117,36.90
"Heritage Mod 1T ""Vamoose""",117,36.00
"Herreshoff ""S"" boat ODR",210,27.00
Herreshoff 18,321,18.20
Herreshoff 28 Ketch,255,28.00
Herreshoff 28 Sloop,171,28.00
"Herreshoff Mod 28 Ketch ""Helena""",258,28.00
Herreshoff Rozinante Canoe Yawl/Ketch,216,28.00
Hinckley 35 Y,189,35.50
Hinckley 35 Y TM,186,35.80
Hinckley 36,252,36.00
Hinckley 38,156,37.40
Hinckley 38 SR,165,37.50
Hinckley 40-2 Yawl,177,40.80
Hinckley 41,150,41.00
Hinckley 41 Y,165,41.20
Hinckley 41Comp,132,41.40
Hinckley 43,117,42.80
Hinckley 43C,69,43.00
Hinckley 51 Comp,42,51.00
Hinckley 57 Yawl,36,57.00
Hinckley 59 CB,57,59.30
Hinckley Bermuda 40 Mk I,174,40.00
Hinckley Bermuda 40 Mk II,174,40.00
Hinckley Bermuda 40 Mk III,165,40.80
Hinckley Bermuda 50,-30,49.80
Hinckley Pilot 35,183,34.30
Hinckley Sou'wester 42 CB,105,42.80
Hinckley SW 42-2 CB,90,42.30
Hinckley SW 51,69,50.80
Hinckley SW 51 Yawl Centerboard,72,51.16
Hobie 33,105,33.00
Hobie 33 Tall Mast,99,33.00
Hobie Magic 25,42,24.50
Holiday 30,288,30.00
Holiday 35,186,35.00
Holland 30 T2,159,30.00
Holland 36 One Ton,111,36.00
Holland 41,90,41.00
Holland 47,60,47.00
Holland 52,57,52.00
Hood 2 Ton,84,42.00
Hood 35,147,38.00
Hood 36 1 Ton,108,36.00
Hood 38,126,38.00
Hood 52,75,52.40
Hughes 25,234,25.00
Hughes 38-1,153,38.00
Humphries 38,105,37.80
Hunter 23 WK,240,23.30
Hunter 25 Outboard,228,24.90
Hunter 25 SK,240,25.00
Hunter 25.5,231,25.60
Hunter 26.5,186,26.50
Hunter 26.5 IB,192,26.50
Hunter 27 TM,216,27.00
Hunter 27-2 IB,219,26.50
Hunter 27-2 OB,213,26.60
Hunter 28,189,28.00
Hunter 28.5,183,28.40
Hunter 29.5 ODR,192,29.50
Hunter 30,168,30.00
Hunter 30 CB,174,30.00
Hunter 30-2 T,171,30.00
Hunter 31,165,31.00
Hunter 310 SD,171,30.80
Hunter 320 W,165,30.80
Hunter 33,162,33.00
Hunter 33.5,153,33.30
Hunter 33.6,153,33.50
Hunter 333,153,33.20
Hunter 34,150,34.00
Hunter 340 SD,159,33.80
Hunter 35 Legend,120,35.60
Hunter 35 Legend Wing,135,36.00
Hunter 35.5,144,35.50
Hunter 356 W,132,35.50
Hunter 36,150,36.00
Hunter 37,141,37.00
Hunter 37 Cutter,162,37.00
Hunter 37 Legend,108,37.50
Hunter 37 Legend Wing,120,37.50
Hunter 37 SD,144,37.00
Hunter 37.5 Legend,126,37.00
Hunter 37.6,111,37.30
Hunter 38 W,108,38.20
Hunter 40 Legend,108,39.60
Hunter 40 Legend Shoal Draft,114,40.00
Hunter 40.5 Legend Wing,120,40.20
Hunter 41 DS,132,38.80
Hunter 410,120,40.70
Hunter 42 Passage,102,42.50
Hunter 420,120,40.70
Hunter 426,117,43.30
Hunter 430,114,42.50
Hunter 45 CC,126,45.00
Hunter 45 DS Wing,123,43.20
Hunter 450 Wing,123,44.30
Hunter 460,108,44.30
Hunter 466,108,46.10
Hunter 466 SD,114,46.00
Hunter 54,69,54.00
Hurley 22,300,22.00
Hylas 42,96,42.10
Hylas 46 TM DK,84,46.30
Hylas 47,93,46.80
Hylas 54,63,54.90
Ideal 18 ODR,249,17.90
ILC 40,6,41.00
ILC 46,-15,47.60
Imperial 23,288,23.00
Impulse 21,183,21.00
Impulse 21 MH,183,21.00
Impulse 26 Inboard,138,26.00
Impulse 26 OUtboard,132,26.00
IMX 38,63,37.30
IMX 40,39,39.70
IMX 45 Tall Mast Deep Keel,-3,45.10
"International ""H""",189,27.00
International 600,186,0.00
International One Design,150,33.00
Intrepid 35,162,35.00
Intrepid 35 Tall Rig,159,35.00
Intrepid 40,141,40.00
Irwin 1/2 Ton,168,30.10
Irwin 23,234,23.00
Irwin 24,237,24.00
Irwin 24 1/4 Ton,216,24.00
Irwin 25 10/4,270,25.00
Irwin 25 Centerboard,225,25.00
Irwin 28-1,204,28.00
Irwin 30,174,30.00
Irwin 30 Centerboard,180,30.00
Irwin 30 Citation,180,30.00
Irwin 30 Competition,171,30.00
Irwin 31,204,31.00
Irwin 31 Citation,165,31.20
Irwin 32,174,32.00
Irwin 32 Citation Shoal Draft,165,32.33
Irwin 32.5 Ketch,234,32.60
Irwin 34,153,34.00
Irwin 34 Citation,165,34.30
Irwin 35 Citation,135,35.40
Irwin 37 Competition,126,37.00
Irwin 37 Ketch,198,37.00
Irwin 37 One Ton,123,37.00
Irwin 38-2,144,38.00
Irwin 39 Citation CB,135,39.90
Irwin 40,168,40.10
Irwin 40 Citation CB,126,39.40
Irwin 41 CB Ketch,150,41.00
Irwin 46,180,45.50
Irwin 52-3 Ketch,105,52.00
Irwin 54 Ketch,105,58.40
Irwin 68,78,67.90
Island Packet 29,216,29.00
Island Packet 31,198,31.00
Island Packet 35,192,38.00
Island Packet 38,168,38.00
Island Packet 40,159,41.50
Island Packet 41,159,41.60
Island Packet 44,135,44.50
Island Trader 38 Ketch,210,38.00
Island Trader 41 Ketch,240,40.00
Islander 23,240,23.00
Islander 24,258,24.00
Islander 26,228,26.70
Islander 28,198,28.00
Islander 29/30,246,29.00
Islander 30-2,183,30.00
Islander 32-2,186,32.00
Islander 32-3,168,32.00
Islander 33,234,33.00
Islander 34,210,34.00
Islander 34-2 Wing,156,34.30
Islander 36,144,36.00
Islander 37 Ketch,222,37.00
Islander 40 Ketch,276,40.00
Islander 55 CB,75,55.00
Islander Bahama 24,264,24.00
Islander Bahama 30,180,29.90
Islander Bahama 36,216,36.00
Islander Excalibur 26,222,25.10
Islander Peterson 40,84,39.60
J Boats 100,81,32.80
J Boats 100 SD,90,0.00
J Boats 105,87,34.50
J Boats 105 ODR,96,34.50
J Boats 105 SD ODR,111,34.50
J Boats 109,63,35.30
J Boats 111,30,36.42
J Boats 112e,54,36.00
J Boats 120,45,40.00
J Boats 120 OD,,40.00
J Boats 120 SD,54,40.00
J Boats 122,33,40.00
J Boats 124,42,40.70
J Boats 125,-6,41.00
J Boats 130,30,42.70
J Boats 133,9,43.00
J Boats 145,-21,48.10
J Boats 145C,-18,48.00
J Boats 160,3,52.70
J Boats 22,177,22.50
J Boats 24,174,24.00
"J Boats 24 Special ""Erendil""",171,24.00
J Boats 27-1,129,27.50
J Boats 27-2,123,27.50
J Boats 28,177,28.40
J Boats 28 SD,183,28.40
J Boats 29 Fractional Inboard,126,29.00
J Boats 29 Fractional Outboard,120,29.00
J Boats 29 Long J OB,117,29.00
J Boats 29 Masthead Inboard,120,29.00
J Boats 29 Masthead Outboard,114,29.00
J Boats 30,141,30.00
J Boats 30 ODR,135,30.00
J Boats 32,120,32.40
J Boats 32 SD,126,32.00
J Boats 33,87,33.50
J Boats 34,120,34.00
J Boats 34C,126,34.50
J Boats 35,72,35.50
J Boats 35 C SD,108,35.20
J Boats 35C,102,35.20
J Boats 36,84,36.00
J Boats 37,72,37.50
J Boats 37 Wing,81,37.50
J Boats 37c,72,37.50
J Boats 37c Shoal Draft,81,37.50
J Boats 39,51,39.50
J Boats 40,75,40.30
J Boats 40 SD,87,40.00
J Boats 41,72,41.90
J Boats 42,72,42.00
J Boats 44,30,44.50
J Boats 44 W,51,44.50
J Boats 46,42,46.00
J Boats 46 DK,36,46.00
J Boats 70,117,22.75
J Boats 80,114,26.30
J Boats 80 ODR,129,26.30
J Boats 88,84,29.19
J Boats 90 ODR,51,30.00
J Boats 92,108,30.00
J Boats 92S,99,30.00
J Boats 95,117,31.20
J Boats 97,108,31.53
"J Boats Mod 24 ""Wavedancer""",171,24.00
"J Boats Mod 29 Fr OB ""Wow""",120,29.00
"J Boats Mod 29 Masthead ""Monitor""",117,29.00
"J Boats Mod 34 ""Jagular""",120,34.00
"J Boats Mod 36 ""Smiling Banshee""",84,36.00
"J Boats Mod 41 ""Aeroplane""",69,41.00
Javelin 35,186,35.00
Jeanneau 27 Fantasia,195,27.30
Jeanneau 32 Attalia,147,31.80
Jeanneau 34 Sunrise,132,34.60
Jeanneau 34.2 Sun Odyssey,120,33.80
Jeanneau 349,135,33.90
Jeanneau 35 Sun Odyssey,120,35.30
Jeanneau 35 Sunrise,84,34.80
Jeanneau 36-2 Sunfast,96,37.10
Jeanneau 36.2 Sun Odyssey,150,36.10
Jeanneau 36.5 Sunshine,123,36.50
Jeanneau 3600 Sunfast,51,35.50
Jeanneau 36i Performance,117,35.80
Jeanneau 37 Sun Odyssey,138,37.30
Jeanneau 37-2 Sunfast,114,37.30
Jeanneau 379 Sun Odyssey,90,37.20
Jeanneau 39i Performance Deep Keel,129,38.20
Jeanneau 39i Sun Odyssey SD,141,38.90
Jeanneau 40 Sun Fizz,117,39.00
Jeanneau 40.3 Sun Odyssey SD,99,40.00
Jeanneau 409,96,40.40
Jeanneau 42 DS SD,90,42.40
Jeanneau 43 Sun Odyssey SD,111,43.30
Jeanneau 44 Sun Magic,108,43.80
Jeanneau 45 Sun Kiss,102,43.50
Jeanneau 47 Sun Kiss,87,47.10
Jeanneau 49 Sun Odyssey,108,49.10
Jeanneau 50 DS SD,57,49.50
Jeanneau 509 Sun Odyssey,54,50.40
Jeanneau 51 Sun Odyssey,51,50.30
Jeanneau 52 Sunfast,57,51.00
Jeanneau 53,51,52.70
Jeanneau 990,171,34.00
"Jeanneau Mod Sunrise 34 ""Presto""",132,34.60
Jeanneau Regatta 39 MH,96,39.20
Jensen 24,168,24.00
Jon Meri 40,105,40.00
Jon Meri 40 DK,102,39.70
Jon Meri 48,60,47.70
Jouet 950,177,31.20
Jupiter 30,171,29.40
Kaiser 34,174,34.00
Kaiser 39,174,39.00
Kalik 33 TM,153,33.00
Kalik 40 IK,105,39.50
"Kalik Mod 33 ""Anegada""",150,33.00
Kantor 51,87,51.00
Kelly 24,186,24.00
Kelt 7.6,210,24.80
Ker 11.3,33,37.50
Ker 11.5,30,37.10
Ker 50,-39,50.40
Kettenberg 41,180,41.00
King 24 T,204,24.00
King Summit 40,12,39.80
Kings Cruiser 29,228,28.50
Kings Cruiser 29 Wood,306,28.50
Kinney 46,132,46.00
Kirby 23,168,23.00
Kirby 24,192,24.00
Kirby 24 K,168,24.00
Kirby 25 IB,171,25.20
Kirby 30,141,30.00
Kirby 40,84,40.00
Kirie 396,141,38.50
Kiwi 24,210,24.00
Kiwi 30,159,30.00
Kiwi 35 Outboard,57,35.00
Kiwi 36 One Ton,114,35.90
Kiwi Miniton,216,22.00
Knarr 30,210,30.40
Knarr 35,198,35.00
Knutson 35,192,35.00
Kramer 24,222,24.00
LaCoste 36,132,36.50
LaCoste 42 Special Edition,102,42.20
LaFitte 44,120,44.40
Lager 40,63,39.70
Lager 44,75,44.90
Lancer 28,258,28.00
Lancer 29 Mark I,189,28.70
Lancer 36 7/8,129,36.00
